Score	Family	Type	TheoreticalBounds	TheoreticalBounds2	SumCluster	MaxCluster	TStatisticSum	TStatisticMax	Sum_ScoreMin	Sum_ScoreMedian	Sum_ScoreMax	Max_ScoreMin	Max_ScoreMedian	Max_ScoreMax	Overlap_Sum	Overlap_Max
J Divergence	Shannon's Entropy	Distance	Left	"[0, Inf)"	2	4	-532.9599574	-536.5155369	0.0689	35.8727	68.0931	0.3292	159.0405	1037.868	0.01957586	0.02239359
Jaccard Distance	Inner Product	Similarity	Both	"[0, 1]"	2	4	-423.7581719	-424.5779185	1.00E-04	0.8908	1	1.00E-04	0.8848	1	0.02409907	0.02558209
Jensen Differences Distance	Shannon's Entropy	Distance	Left	"[0, Inf)"	2	4	-540.410236	-532.1981439	0.0017	0.5026	0.6931	0.0055	2.1438	12.7084	0.01349548	0.01801869
Jensen Shannon Index	Shannon's Entropy	Distance	Left	"[0, Inf)"	2	4	-540.410236	-532.1981439	0.0017	0.5026	0.6931	0.0055	2.1438	12.7084	0.01349548	0.01801869
K Divergence	Shannon's Entropy	Distance	Left	"[0, Inf)"	2	4	-498.8127992	-260.8667528	0.0019	0.5229	0.6931	-2.1889	1.8687	16.2675	0.01349548	0.12005042
Kendall Tau Correlation	Correlative	Similarity	Both	"[-1, 1]"	1	1	385.7365411	385.7365411	-0.7192	-0.2353	0.9331	-0.7192	-0.2353	0.9331	0.02261605	0.02261605
Kulczynski 1 Distance	L1 Distance	Distance	Left	"[0, Inf)"	2	4	-25.34071125	-31.44753067	0.0214	8.8965	1.72E+14	0.0209	9.2817	1.12E+14	0.01364378	0.01386623
Kullback Leibler Divergence	Shannon's Entropy	Distance	Left	"[0, Inf)"	2	4	-589.8884423	-477.9073179	0.0164	13.7617	33.1517	-2.6675	52.2462	640.101	0.02832567	0.05783776
Kumar Hassebrook Similarity	Inner Product	Similarity	Both	"[0, 1]"	1	1	423.7581719	424.5779185	0	0.1092	0.9999	0	0.1152	0.9999	0.02409907	0.02558209
Kumar Johnson Divergence	Shannon's Entropy	Distance	Left	"[0, Inf)"	3	2	-27.50898022	-46.14547505	1.63E+13	4.05E+21	1.15E+26	4.10E+13	2.33E+22	1.00E+26	0.11663948	0.11397004
Lorentzian Distance	L1 Distance	Distance	Left	"[0, Inf)"	2	4	-456.3821213	-389.881995	0.0212	1.5455	1.958	0.0473	5.8716	32.1429	0.01401453	0.03329379
Manhattan Distance	LP Distance	Distance	Left	"[0, Inf)"	2	4	-456.7065348	-406.4778887	0.0212	1.6329	2	0.0474	6.8388	39.007	0.01364378	0.03062435
Matusita Distance	Fidelity	Distance	Left	"[0, Inf)"	2	4	-424.9601177	-411.5640933	0.0677	1.177	1.4142	0.1251	2.4365	5.9845	0.01394038	0.01698057
Minokowski 3 Distance	LP Distance	Distance	Left	"[0, Inf)"	2	4	-311.8601499	-325.0426462	0.0025	0.3265	1.0869	0.0054	1.2983	2.3258	0.05613229	0.02951209
Minokowski 4 Distance	LP Distance	Distance	Left	"[0, Inf)"	2	4	-300.6006598	-304.836375	0.0022	0.3018	1.0437	0.0048	1.1909	1.75	0.06829304	0.03262643
Motyka Distance	Intersection	Distance	Both	"[0, 0.5]"	1	1	456.7065348	462.7248897	0	0.0918	0.4947	0	0.0886	0.4948	0.01364378	0.01386623
Neyman Chi Squared Distance	Chi Squared	Distance	Left	"[0, Inf)"	2	4	-304.2481735	-490.4205732	0.0412	1.20E+12	2.50E+14	0.1986	7.02E+12	9.96E+13	0.03077265	0.05561323
Pearson Chi Squared Distance	Chi Squared	Distance	Left	"[0, Inf)"	3	2	-52.46044585	-75.20343413	0.0208	2.88E+14	3.08E+17	0.068	1.58E+15	8.64E+17	0.09268871	0.09372683
Pearson Correlation	Correlative	Similarity	Both	"[-1, 1]"	1	1	513.2031611	513.2031611	-0.3975	0.1479	1	-0.3975	0.1479	1	0.02498888	0.02498888
Probabilistic symmetric X2 Distance	Chi Squared	Distance	Left	"[0, Inf)"	2	4	-528.7175267	-514.7352964	0.0102	2.9972	4	0.0329	12.7364	74.6487	0.01327302	0.01972416
Roberts Distance	L1 Distance	Similarity	Both	"[0, 1]"	2	4	-397.7924749	-409.8054773	0.0173	0.865	1	0.0168	0.8689	1	0.01490435	0.01646152
Ruzicka Distance	L1 Distance	Similarity	Both	"[0, 1]"	2	4	-373.3690112	-376.2743796	0.021	0.899	1	0.0205	0.9027	1	0.01364378	0.01386623
Soergel Distance	L1 Distance	Similarity	Both	"[0, 1]"	2	4	-373.3690112	-376.2743796	0.021	0.899	1	0.0205	0.9027	1	0.01364378	0.01386623
Sorensen Distance	LP Distance	Similarity	Both	"[0, 1]"	2	4	-456.7065348	-462.7248897	0.0106	0.8165	1	0.0103	0.8227	1	0.01364378	0.01386623
Spearman Correlation	Correlative	Similarity	Both	"[-1, 1]"	1	1	408.7828816	408.7828816	-0.8729	-0.2979	0.9856	-0.8729	-0.2979	0.9856	0.0226902	0.0226902
Spectral Contrast Angle	Inner Product	Distance	Left	"[0, Inf)"	2	4	-418.8548006	-418.8548006	0.0072	1.3552	1.5708	0.0072	1.3552	1.5708	0.02476642	0.02476642
Square Root Cosine Correlation	Inner Product	Similarity	Both	"[0, 1]"	1	1	549.0114774	191.0887453	0	0.3074	0.9977	0	0.0688	0.6023	0.01394038	0.0229868
Squared Chi Squared Distance	Chi Squared	Distance	Left	"[0, Inf)"	2	4	-528.7175267	-514.7352964	0.0051	1.4986	2	0.0164	6.3682	37.3243	0.01327302	0.01972416
Squared Euclidean Distance	Chi Squared	Distance	Left	"[0, Inf)"	2	4	-346.3641103	-471.7401821	0	0.173	1.4429	1.00E-04	2.8371	19.2168	0.041747	0.0269168
Squared-chord Distance	Fidelity	Distance	Left	"[0, Inf)"	2	4	-549.0114774	-545.2195115	0.0046	1.3853	2	0.0157	5.9364	35.8139	0.01394038	0.01698057
Stein Scott Similarity	Inner Product	Similarity	Both	"[0, 1]"	1	1	514.7923534	514.7923534	0	0.1348	0.9728	0	0.1348	0.9728	0.01297642	0.01297642
Stein Scott Similarity Nist	Inner Product	Similarity	Both	"[0, 1]"	1	1	559.8945618	559.8945618	0	0.1832	0.9726	0	0.1832	0.9726	0.01201246	0.01201246
Symmetric Chi Squared Distance	Chi Squared	Distance	Left	"[0, Inf)"	3	2	-63.58749764	-89.66697438	2.28E+11	4.14E+15	9.69E+17	1.95E+11	4.86E+15	1.76E+18	0.19041969	0.18485837
Taneja Divergence	Combination	Distance	Left	"[0, Inf)"	2	4	-531.5650198	-535.0779115	0.0141	8.4552	16.3301	0.0672	37.6282	247.0235	0.01987246	0.02306095
Topsoe Distance	Shannon's Entropy	Distance	Left	"[0, Inf)"	2	4	-540.410236	-532.1981439	0.0033	1.0053	1.3863	0.0111	4.2875	25.4167	0.01349548	0.01801869
VW1	Vicis Wave Hedges	Distance	Left	"[0, Inf)"	3	2	-63.5874976	-89.66697438	2.28E+11	4.14E+15	9.69E+17	1.95E+11	4.86E+15	1.76E+18	0.19041969	0.18485837
VW2	Vicis Wave Hedges	Distance	Left	"[0, Inf)"	3	2	-11.59028016	-39.4838298	6.61E+21	2.01E+30	3.78E+35	5.68E+21	2.66E+30	7.23E+34	0.24403085	0.21755895
VW3	Vicis Wave Hedges	Distance	Left	"[0, Inf)"	3	2	-52.59717197	-75.29661935	204480027	2.91E+14	3.08E+17	568152911.1	1.59E+15	8.64E+17	0.0917989	0.09216966
VW4	Vicis Wave Hedges	Distance	Left	"[0, Inf)"	2	4	-509.3425286	-486.9276133	0.0058	1.5415	2	0.0177	6.5195	37.8958	0.01312472	0.02180039
VW5	Vicis Wave Hedges	Distance	Left	"[0, Inf)"	3	2	-52.46192292	-75.20326917	204480027	2.88E+14	3.08E+17	568152911.1	1.58E+15	8.64E+17	0.09268871	0.09372683
VW6	Vicis Wave Hedges	Distance	Left	"[0, Inf)"	2	4	-405.2675132	-526.6793363	0.0208	1.19E+12	2.45E+14	0.068	6.96E+12	9.90E+13	0.03062435	0.05390776
Wave Hedges Distance	Intersection	Distance	Left	"[0, Inf)"	4	3	-88.37776375	-80.5940049	8.3773	109.8349	469.3795	8.6915	109.8459	482.2998	0.26701765	0.26620199
Weighted Cosine Correlation	Inner Product	Similarity	Both	"[0, 1]"	1	1	556.7170876	556.7170876	0	0.1095	0.9984	0	0.1095	0.9984	0.01438529	0.01438529
Whittaker index of association Distance	Shannon's Entropy	Distance	Left	"[0, Inf)"	4	3	-354.3727582	-354.3727582	0.9432	93.6358	440.3316	0.9432	93.6358	440.3316	0.07148154	0.07148154
